gp,nhs_url,postcode,state,url
Bellingham Practice,https://www.nhs.uk/services/gp-surgery/bellingham-practice/A84027,NE48 2HE,1,http://www.thebellinghampractice.co.uk
Frithwood Surgery,https://www.nhs.uk/services/gp-surgery/frithwood-surgery/L84016,GL6 8DE,1,http://www.frithwoodsurgery.nhs.uk
Minchinhampton Surgery,https://www.nhs.uk/services/gp-surgery/minchinhampton-surgery/L84005,GL6 9JF,1,https://www.minchsurgery.nhs.uk
Cubbington Rd Surgery,https://www.nhs.uk/services/gp-surgery/cubbington-rd-surgery/M84029,CV32 7AT,1,http://www.cubbingtonsurgery.nhs.uk
Sibford Surgery,https://www.nhs.uk/services/gp-surgery/sibford-surgery/K84065,OX15 5RQ,0,
GPS Healthcare - Yew Tree Medical Centre,https://www.nhs.uk/services/gp-surgery/gps-healthcare-yew-tree-medical-centre/M89003004,B91 2RA,1,http://www.gpshealthcare.co.uk
Springfield Medical Pract,https://www.nhs.uk/services/gp-surgery/springfield-medical-pract/M85756,B11 4DG,1,http://www.springfieldmedicalpractice.co.uk
Oakwood Surgery,https://www.nhs.uk/services/gp-surgery/oakwood-surgery/M85078,B11 4BW,1,https://www.oakwoodsurgery.org.uk/
The Dovecot Surgery,https://www.nhs.uk/services/gp-surgery/the-dovecot-surgery/A81025,TS18 1HU,0,
Shirley Road Health Centre,https://www.nhs.uk/services/gp-surgery/shirley-road-health-centre/Y00159001,B27 7NP,0,
The Leckhampton Surgery,https://www.nhs.uk/services/gp-surgery/the-leckhampton-surgery/L84040,GL53 0LA,1,http://www.leckhamptonsurgery.co.uk
Links Medical Practice,https://www.nhs.uk/services/gp-surgery/links-medical-practice/M87617,DY2 9PU,1,http://www.linksmedical.co.uk
Winscombe and Banwell Family Practice,https://www.nhs.uk/services/gp-surgery/winscombe-and-banwell-family-practice/L81021001,BS29 6AF,1,http://www.winscombebanwellsurgery.nhs.uk
The Banks And Bearwood Medical Centre,https://www.nhs.uk/services/gp-surgery/the-banks-and-bearwood-medical-centre/J81070002,BH3 7AT,1,http://www.bearwoodmedicalpractice.co.uk/
Anchor Medical Practice,https://www.nhs.uk/services/gp-surgery/anchor-medical-practice/M87028,DY2 9PU,0,
The Banks & Bearwood Medical Centre,https://www.nhs.uk/services/gp-surgery/the-banks-and-bearwood-medical-centre/J81070,BH3 7AT,1,http://www.bearwoodmedicalpractice.co.uk
Lyme Bay Medical Practice,https://www.nhs.uk/services/gp-surgery/lyme-bay-medical-practice/J81647,DT7 3LS,1,http://www.lymebaymedicalpractice.co.uk
Shore Medical - Poole Road Medical Centre,https://www.nhs.uk/services/gp-surgery/shore-medical-poole-road-medical-centre/E6S5V,BH2 5QR,0,
St Albans Medical Centre,,BH8 9PU,,
St Albans Medical Centre,https://www.nhs.uk/services/gp-surgery/st-albans-medical-centre/J81062,BH8 9EW,1,https://www.stalbansmc.co.uk/
The Ingham Surgery,https://www.nhs.uk/services/gp-surgery/the-ingham-surgery/C83052,LN1 2XF,0,
Welton Family Health Centre,https://www.nhs.uk/services/gp-surgery/welton-family-health-centre/C83037,LN2 3JH,1,http://www.weltonsurgery.co.uk
CLIFF HOUSE MEDICAL PRACTICE,https://www.nhs.uk/services/gp-surgery/cliff-house-medical-practice/C83073002,LN1 1AQ,1,http://www.cliffhousemedicalpractice.co.uk/
Red Bank Group Practice,https://www.nhs.uk/services/gp-surgery/red-bank-group-practice/P83603,M26 2SP,1,https://redbankgrouppractice.com/
RADCLIFFE MEDICAL PRACTICE,https://www.nhs.uk/services/gp-surgery/radcliffe-medical-practice/P83007,M26 2SP,1,http://www.radcliffemp.nhs.uk/
Rock@Radcliffe,https://www.nhs.uk/services/gp-surgery/rock@radcliffe/Y02755001,M26 2SP,1,http://www.rockhealthcare.co.uk
Dr Kharwadkar Branch Surgery,https://www.nhs.uk/services/gp-surgery/dr-kharwadkar-branch-surgery/M92629001,WV9 5NJ,1,https://www.pendefordsurgery.co.uk
Dr Archana Nandanavanam Pendeford Branch Surgery,https://www.nhs.uk/services/gp-surgery/dr-archana-nandanavanam-pendeford-branch-surgery/M92609001,WV9 5NJ,1,http://www.ashfieldroadsurgery.co.uk
Trent Valley Surgery,https://www.nhs.uk/services/gp-surgery/trent-valley-surgery/C83641,LN1 2NU,1,https://www.trentvalleysurgery.co.uk
The Glebe Practice,https://www.nhs.uk/services/gp-surgery/the-glebe-practice/C83038,LN1 2NU,1,https://www.glebepracticesaxilby.co.uk/
Minster Medical Practice,https://www.nhs.uk/services/gp-surgery/minster-medical-practice/C83072,LN2 2JP,1,http://www.minstermedicalpractice.co.uk
Lindum Medical Practice,https://www.nhs.uk/services/gp-surgery/lindum-medical-practice/C83009,LN2 2JP,1,http://www.thelindumpractice.co.uk
CLIFF HOUSE MEDICAL PRACTICE,https://www.nhs.uk/services/gp-surgery/cliff-house-medical-practice/C83073,LN1 3LJ,1,http://www.cliffhousemedicalpractice.co.uk/
Willingham-By-Stow Surgery,https://www.nhs.uk/services/gp-surgery/willingham-by-stow-surgery/C83074,DN21 5JZ,1,http://www.willinghamsurgery.co.uk
Bradford Street Surgery,https://www.nhs.uk/services/gp-surgery/bradford-street-surgery/P82033,BL2 1HT,1,http://www.ehealthservice.co.uk/bolton/zarrouk
"Dr Vij & Partners, Pendeford Branch Surgery",https://www.nhs.uk/services/gp-surgery/dr-vij-and-partners-pendeford-branch-surgery/M92607001,WV9 5NJ,1,http://www.drvijandpartners.nhs.uk/
Mansion House Surgery,https://www.nhs.uk/services/gp-surgery/mansion-house-surgery/M83069,ST15 8YE,1,http://www.mansionhousesurgery.nhs.uk
Cumberland House,https://www.nhs.uk/services/gp-surgery/cumberland-house/M83020,ST15 8AP,1,http://www.cumberlandhouse.org.uk
Ashfield Road Surgery,https://www.nhs.uk/services/gp-surgery/ashfield-road-surgery/M92609,WV10 6QX,1,http://www.ashfieldroadsurgery.co.uk
Stafford Medical Group,https://www.nhs.uk/services/gp-surgery/stafford-medical-group/L81066,BS24 7DX,1,http://www.lockingcastlemedical.co.uk
Millview Medical Centre,https://www.nhs.uk/services/gp-surgery/millview-medical-centre/C83011,NG34 9QP,1,http://www.millviewmedicalcentre.co.uk
Ruskington Surgery,https://www.nhs.uk/services/gp-surgery/ruskington-surgery/C83013,NG34 9GQ,0,
Glebe Park Surgery,https://www.nhs.uk/services/gp-surgery/glebe-park-surgery/C83079,LN2 4QN,1,https://glebeparksurgery.co.uk
The Cedars Surgery,https://www.nhs.uk/services/gp-surgery/the-cedars-surgery/L81643,BS22 6AJ,1,https://www.cedarssurgerywsm.com
Worle Medical Practice,https://www.nhs.uk/services/gp-surgery/worle-medical-practice/L81643003,BS22 6HB,1,https://www.cedarssurgerywsm.com
Willand Surgery,https://www.nhs.uk/services/gp-surgery/willand-surgery/L83092002,EX15 2QP,0,
Glenside Country Practice - Corby Glen,https://www.nhs.uk/services/gp-surgery/glenside-country-practice-corby-glen/C83024002,NG33 4LY,1,https://www.glensidecountrypractice.com
Market Cross Surgery,https://www.nhs.uk/services/gp-surgery/market-cross-surgery/C83649,NG33 4BB,1,http://www.marketcrosssurgery.co.uk
Navenby Cliff Villages Surgery,https://www.nhs.uk/services/gp-surgery/navenby-cliff-villages-surgery/C83002,LN5 0JJ,0,
Lordswood House Group Medical Practice,https://www.nhs.uk/services/gp-surgery/lordswood-house-group-medical-practice/M85028,B17 9DB,-1,http://www.lordswood.org.uk
Ridgacre House Surgery,https://www.nhs.uk/services/gp-surgery/ridgacre-house-surgery/M85172,B32 2TJ,1,https://rahs.digipractice.org
The Elms Practice,https://www.nhs.uk/services/gp-surgery/the-elms-practice/P81045,L39 2BY,1,http://www.theelmspractice.nhs.uk
Ormskirk Medical Practice,https://www.nhs.uk/services/gp-surgery/ormskirk-medical-practice/P81014,L39 2BY,1,https://www.ormskirkmedicalpractice.nhs.uk
Greenmoss Medical Centre,https://www.nhs.uk/services/gp-surgery/greenmoss-medical-centre/N81071,ST7 3BT,1,http://www.greenmossmedicalcentre.nhs.uk
Long Bennington Medical Centre,https://www.nhs.uk/services/gp-surgery/long-bennington-medical-centre/C83067,NG23 5FR,1,https://www.longbenningtonmedicalcentre.nhs.uk/
Bourne Galletly Practice Team,https://www.nhs.uk/services/gp-surgery/bourne-galletly-practice-team/C83054,PE10 9BT,1,http://www.galletly.co.uk
Harborne Medical Practice,https://www.nhs.uk/services/gp-surgery/harborne-medical-practice/M85058,B17 0HG,1,https://harbornemedical.co.uk/
Beacon Railway Road Practice,https://www.nhs.uk/services/gp-surgery/beacon-railway-road-practice/P81112002,L39 2DN,1,http://www.beaconprimarycare.org.uk/
Aughton Surgery,https://www.nhs.uk/services/gp-surgery/aughton-surgery/P81695,L39 6SE,1,http://www.aughtonsurgery.nhs.uk
Parkgate Surgery,https://www.nhs.uk/services/gp-surgery/parkgate-surgery/P81041,L39 4QR,1,http://www.parkgatesurgery.co.uk
Westway Medical Centre,https://www.nhs.uk/services/gp-surgery/westway-medical-centre/N84025,L31 0DJ,1,http://www.westwaymcmaghull.nhs.uk/
Tarporley Health Centre,https://www.nhs.uk/services/gp-surgery/tarporley-health-centre/N81018,CW6 0BE,1,https://tarporleygps.gpsurgery.net/
Drs Adey and Dancy,https://www.nhs.uk/services/gp-surgery/drs-adey-and-dancy/N81031,CW6 0BE,1,https://tarporleydoctors.gpsurgery.net/
Chesterfield Drive Surgery,https://www.nhs.uk/services/gp-surgery/chesterfield-drive-surgery/V9V2Q,IP1 6DW,1,https://www.cardinalmedicalpractice.co.uk
Cardinal Medical Practice,https://www.nhs.uk/services/gp-surgery/cardinal-medical-practice/D83050,IP1 5EN,1,https://www.cardinalmedicalpractice.co.uk
Norwich Road Surgery,https://www.nhs.uk/services/gp-surgery/norwich-road-surgery/V3Y6X,IP1 4BX,1,https://www.cardinalmedicalpractice.co.uk
Crick Medical Practice,https://www.nhs.uk/services/gp-surgery/crick-medical-practice/K83053,NN6 7TT,0,
St Wulfstan Surgery,https://www.nhs.uk/services/gp-surgery/st-wulfstan-surgery/M84629,CV47 0FG,1,https://www.stwulfstan.co.uk
Backwell Medical Centre,https://www.nhs.uk/services/gp-surgery/backwell-medical-centre/L81034002,BS48 3HA,1,http://www.tyntesfield.nhs.uk
Harbourside Family Practice,https://www.nhs.uk/services/gp-surgery/harbourside-family-practice/L81600,BS20 7QA,1,https://www.harboursidefmp.nhs.uk
Maghull Family Surgery,https://www.nhs.uk/services/gp-surgery/maghull-family-surgery/N84010,L31 0DJ,0,
Maghull Practice,https://www.nhs.uk/services/gp-surgery/maghull-practice/Y00446,L31 0DJ,1,http://www.maghullgppractice.nhs.uk/
Thornton Surgery,https://www.nhs.uk/services/gp-surgery/thornton-surgery/N84621,L23 1TQ,1,http://www.thorntonpractice.co.uk
Crosby Village Surgery,https://www.nhs.uk/services/gp-surgery/crosby-village-surgery/N84026,L23 2TE,1,http://www.crosbyvillagegpsurgery.nhs.uk/
Ivry Street Medical Practice,https://www.nhs.uk/services/gp-surgery/ivry-street-medical-practice/D83024,IP1 3QW,1,http://www.ivrystreet.co.uk/
Barrack Lane Medical Centre,https://www.nhs.uk/services/gp-surgery/barrack-lane-medical-centre/D83059,IP1 3NQ,1,https://www.barracklane.co.uk
Burlington Primary Care,https://www.nhs.uk/services/gp-surgery/burlington-primary-care/D83008,IP1 2EU,1,http://www.burlingtonprimarycare.co.uk/
Dr Solway and Dr Roy Practice,https://www.nhs.uk/services/gp-surgery/dr-solway-and-dr-roy-practice/D83073,IP4 2PZ,1,http://www.drsolwayandwhale.co.uk/
Orchard Medical Practice,https://www.nhs.uk/services/gp-surgery/orchard-medical-practice/D83074,IP4 2PZ,1,http://www.orchardmedicalpractice.nhs.uk
Park Ave Med Cnt & Kings Heath Practice,https://www.nhs.uk/services/gp-surgery/park-ave-med-cnt-and-kings-heath-practice/K83042,NN3 2HZ,1,http://www.parkavenuemedicalcentre.co.uk/
West Haddon Branch Surgery,https://www.nhs.uk/services/gp-surgery/west-haddon-branch-surgery/K83053001,NN6 7DU,1,http://www.crickmedicalpractice.co.uk/
Abington Medical Centre,https://www.nhs.uk/services/gp-surgery/abington-medical-centre/K83043,NN3 2JG,0,
Harbury Surgery Dr Snowdon & Partner,https://www.nhs.uk/services/gp-surgery/harbury-surgery-dr-snowdon-and-partner/M84044002,CV47 2RE,1,http://www.harburysurgery.org.uk
Brockway Medical Centre,https://www.nhs.uk/services/gp-surgery/brockway-medical-centre/L81034001,BS48 1BZ,1,http://www.tyntesfield.nhs.uk
Tyntesfield Medical Group,https://www.nhs.uk/services/gp-surgery/tyntesfield-medical-group/L81034,BS48 2XX,1,http://www.tyntesfield.nhs.uk
Portishead Medical Group,https://www.nhs.uk/services/gp-surgery/portishead-medical-group/L81004,BS20 6AQ,1,http://www.pmg.org.uk
The Ridings Medical Group Holme On Spalding Moor Surgery,https://www.nhs.uk/services/gp-surgery/the-ridings-medical-group-holme-on-spalding-moor-surgery/B81061004,YO43 4BJ,1,http://www.theridingsmedicalgroup.nhs.uk/
Dr S Dutta & Partners - Whitley Bridge Surgery,https://www.nhs.uk/services/gp-surgery/dr-s-dutta-and-partners-whitley-bridge-surgery/B87021003,DN14 0LJ,1,http://www.ashgrovesurgery.co.uk/
The Friary Surgery,https://www.nhs.uk/services/gp-surgery/the-friary-surgery/B82072,DL10 4UJ,-1,http://www.friarysurgery.co.uk/index.aspx
Quakers Lane Surgery,https://www.nhs.uk/services/gp-surgery/quakers-lane-surgery/B82034,DL10 4BB,0,
Essex University Partnership NHS Trust,https://www.nhs.uk/services/gp-surgery/essex-university-partnership-nhs-trust/Y06499,IP4 2LA,0,
Hawthorn Drive Surgery,https://www.nhs.uk/services/gp-surgery/hawthorn-drive-surgery/D83056,IP2 0QQ,0,
Harbury Surgery,https://www.nhs.uk/services/gp-surgery/harbury-surgery/M84044,CV33 9HR,1,http://www.harburysurgery.org.uk
Hatfield Health Centre,https://www.nhs.uk/services/gp-surgery/hatfield-health-centre/C86003,DN7 6JH,1,http://www.hatfieldhealthcentre.co.uk
The Barnby Dun Surgery,https://www.nhs.uk/services/gp-surgery/the-barnby-dun-surgery/C86037001,DN3 1AA,-1,http://www.fieldroadsurgery.nhs.uk
Dunsville Medical Centre,https://www.nhs.uk/services/gp-surgery/dunsville-medical-centre/C86611,DN7 4BY,1,http://dunsvillemedicalcentre.nhs.uk/
ROCKLIFFE COURT SURGERY,https://www.nhs.uk/services/gp-surgery/rockliffe-court-surgery/A83048,DL2 2DS,1,http://www.rockliffecourtsurgery.co.uk/
The Leeds Road Practice,https://www.nhs.uk/services/gp-surgery/the-leeds-road-practice/B82012001,HG3 1JN,0,
The Leeds Road Practice,https://www.nhs.uk/services/gp-surgery/the-leeds-road-practice/B82012,HG2 8AY,1,http://www.leeds-road-practice.co.uk
Bere Alston Surgery,https://www.nhs.uk/services/gp-surgery/bere-alston-surgery/L83101001,PL20 7EJ,1,http://www.berealstonmedicalpractice.co.uk
Gunnislake Health Centre,https://www.nhs.uk/services/gp-surgery/gunnislake-health-centre/L82012001,PL18 9JZ,1,http://www.tamarvalleyhealth.org.uk/
Shelley Manor Holdenhurst Medical Centre,https://www.nhs.uk/services/gp-surgery/shelley-manor-holdenhurst-medical-centre/J81021,BH5 1LX,1,http://www.shelleymanorsurgery.co.uk/
Shanklin Medical Centre,https://www.nhs.uk/services/gp-surgery/shanklin-medical-centre/J84013001,PO37 7HR,0,
Littledown Surgery,https://www.nhs.uk/services/gp-surgery/littledown-surgery/J81067,BH7 7BU,1,http://www.littledownsurgery.co.uk/
Belton Branch Surgery,https://www.nhs.uk/services/gp-surgery/belton-branch-surgery/B81043001,DN9 1LR,1,https://www.southaxholmepractice.nhs.uk
The Ridings Medical Group,,HU15 2JG,,
Park Parade Surgery,https://www.nhs.uk/services/gp-surgery/park-parade-surgery/B82091,HG1 5AR,1,http://www.parkparadesurgery.nhs.uk
The Spa Surgery,https://www.nhs.uk/services/gp-surgery/the-spa-surgery/B82027,HG1 5AR,1,http://www.thespasurgery.co.uk
Tamar Valley Health,https://www.nhs.uk/services/gp-surgery/tamar-valley-health/L82012,PL17 7AW,1,http://www.tamarvalleyhealth.org.uk
Yelverton Surgery,https://www.nhs.uk/services/gp-surgery/yelverton-surgery/L83102,PL20 6AS,1,http://www.yelvertonsurgery.co.uk
Knowle House Surgery,https://www.nhs.uk/services/gp-surgery/knowle-house-surgery/L83089001,PL5 4NU,0,
Ernesettle Medical Centre,https://www.nhs.uk/services/gp-surgery/ernesettle-medical-centre/L83006007,PL5 2ST,1,http://www.mayflowermedicalgroup.co.uk
Humshaugh & Wark Med Grp,https://www.nhs.uk/services/gp-surgery/humshaugh-and-wark-med-grp/A84040,NE46 4BU,1,http://humshaughandwarkmedicalgroup.nhs.uk/
The Bay Medical Practice,https://www.nhs.uk/services/gp-surgery/the-bay-medical-practice/J84013,PO36 9GA,1,https://thebaymedicalpractice.nhs.uk
Crescent Providence Surgery,https://www.nhs.uk/services/gp-surgery/crescent-providence-surgery/J81634,BH1 4HA,1,https://southcoastmedicalgroup.co.uk/
Boscombe & Springbourne Health Centre Walk in Service,https://www.nhs.uk/services/gp-surgery/boscombe-and-springbourne-health-centre-walk-in-service/Y02584,BH1 4HA,0,
Argyll House,https://www.nhs.uk/services/gp-surgery/argyll-house/J84008,PO33 2QG,0,
St. Margarets Medical Practice,https://www.nhs.uk/services/gp-surgery/st-margarets-medical-practice/M89005,B92 7JS,0,
Alma Medical Centre,https://www.nhs.uk/services/gp-surgery/alma-medical-centre/A81067,TS18 2BP,1,https://www.almamedicalcentre.nhs.uk
Riverside Medical Practice,https://www.nhs.uk/services/gp-surgery/riverside-medical-practice/A81629,TS18 2AP,0,
Southway Surgery,https://www.nhs.uk/services/gp-surgery/southway-surgery/L83039,PL6 6DX,1,http://www.southwaysurgery.com
Saltash Health Centre,https://www.nhs.uk/services/gp-surgery/saltash-health-centre/L82046,PL12 6DL,1,https://www.saltashhealth.co.uk/
Woodlea House Surgery,https://www.nhs.uk/services/gp-surgery/woodlea-house-surgery/J81633,BH8 9NX,1,https://southcoastmedicalgroup.co.uk/
Esplanade Surgery,https://www.nhs.uk/services/gp-surgery/esplanade-surgery/J84005,PO33 2EH,1,http://www.theesplanadesurgery.co.uk
Strensham Road Surgery,https://www.nhs.uk/services/gp-surgery/strensham-road-surgery/M85783,B12 9RR,1,http://www.strenshamroadsurgery.co.uk/
Newport Medical Group,https://www.nhs.uk/services/gp-surgery/newport-medical-group/M85164001,B12 8AW,1,https://www.newportmedicalgroup.nhs.uk/
Newport Medical Group,https://www.nhs.uk/services/gp-surgery/newport-medical-group/M85164,B12 8QE,1,http://www.newportmedicalgroup.nhs.uk/
Tennant Street Medical Practice,https://www.nhs.uk/services/gp-surgery/tennant-street-medical-practice/A81006,TS18 2AT,-1,http://www.tsmp.gpsurgery.net
Queens Park Medical Centre,https://www.nhs.uk/services/gp-surgery/queens-park-medical-centre/A81002,TS18 2AW,1,http://www.qpmc.co.uk
University of Durham,https://www.nhs.uk/services/gp-surgery/university-of-durham/A81067001,TS17 6BH,0,
The Arrival Practice,https://www.nhs.uk/services/gp-surgery/the-arrival-practice/A81634,TS18 2EP,1,https://www.arrivalpractice.co.uk
Balsall Common & Meriden Group Practice,https://www.nhs.uk/services/gp-surgery/balsall-common-and-meriden-group-practice/M89016,CV7 7RW,1,http://www.balsallcommongrouppractice.co.uk
Mid Sussex Health Care,https://www.nhs.uk/services/gp-surgery/mid-sussex-health-care/H82057,BN6 9UQ,1,http://www.midsussexhealthcare.co.uk
Hassocks Health Centre,https://www.nhs.uk/services/gp-surgery/hassocks-health-centre/H82057002,BN6 8LY,1,http://www.midsussexhealthcare.co.uk
Meadows Surgery,https://www.nhs.uk/services/gp-surgery/meadows-surgery/H82003,RH15 9XN,0,
Hutton Rudby Surgery,https://www.nhs.uk/services/gp-surgery/hutton-rudby-surgery/B82050003,TS15 0DB,1,http://www.huttonrudbysurgery.co.uk
The Avenue Surgery,https://www.nhs.uk/services/gp-surgery/the-avenue-surgery/H82072002,RH15 9QU,1,http://www.silverdalepractice.co.uk
Brow Medical Centre,https://www.nhs.uk/services/gp-surgery/brow-medical-centre/H82084,RH15 9BS,1,http://www.browmedicalcentre.nhs.uk
Park View Health Partnership,https://www.nhs.uk/services/gp-surgery/park-view-health-partnership/E6H0I,RH15 8HS,1,https://www.modalitypartnership.nhs.uk/modalitymidsussex
Silverdale Practice,https://www.nhs.uk/services/gp-surgery/silverdale-practice/H82072,RH15 0EF,1,http://www.silverdalepractice.co.uk/
Fordhouses Medical Centre,https://www.nhs.uk/services/gp-surgery/fordhouses-medical-centre/M92629,WV10 6RU,1,https://www.fordhousesmedicalcentre.co.uk
Probert Road Surgery,https://www.nhs.uk/services/gp-surgery/probert-road-surgery/M92041,WV10 6UF,1,https://www.probertroadsurgery.nhs.uk
Halliwell Surgery 3,https://www.nhs.uk/services/gp-surgery/halliwell-surgery-3/P82626,BL1 3RG,1,https://www.halliwellsurgery.nhs.uk/
Halliwell Surgery 1,https://www.nhs.uk/services/gp-surgery/halliwell-surgery-1/P82022,BL1 3RG,0,
St Leonard's Road Branch Surgery,https://www.nhs.uk/services/gp-surgery/st-leonard-s-road-branch-surgery/J81072001,BH8 8QN,1,http://www.thepantonpractice.co.uk
St Paul's Hostel,https://www.nhs.uk/services/gp-surgery/st-paul-s-hostel/J81634002,BH8 8AJ,0,
Holdenhurst Site of Shelley Manor & Holdenhurst MC,https://www.nhs.uk/services/gp-surgery/holdenhurst-site-of-shelley-manor-and-holdenhurst-mc/J81021001,BH8 8DE,1,http://www.smh-mc.co.uk
Ditchling Health Centre,https://www.nhs.uk/services/gp-surgery/ditchling-health-centre/H82057003,BN6 8TT,1,http://www.midsussexhealthcare.co.uk
Oxley Surgery,https://www.nhs.uk/services/gp-surgery/oxley-surgery/H6K4C,WV10 6AR,0,
Mayfield Medical Practice,https://www.nhs.uk/services/gp-surgery/mayfield-medical-practice/M92040003,WV10 8UT,1,https://mayfieldmedicalpractice.com/
Prestbury Medical Practice,https://www.nhs.uk/services/gp-surgery/prestbury-medical-practice/M92009,WV10 8EA,1,http://www.prestburymedicalpractice.co.uk
Beehive Surgery,https://www.nhs.uk/services/gp-surgery/beehive-surgery/P82616,BL3 2JR,0,
Octagon Medical Centre,https://www.nhs.uk/services/gp-surgery/octagon-medical-centre/P82012,BL1 1SQ,1,http://www.boltondoctors.co.uk
Halliwell Surgery 2,https://www.nhs.uk/services/gp-surgery/halliwell-surgery-2/P82029,BL1 3RG,1,https://www.halliwellsurgery.co.uk
Dr Y Loomba & Partner ,https://www.nhs.uk/services/gp-surgery/dr-y-loomba-and-partner/P82013001,BL1 1SQ,-1,https://www.drloombabolton.nhs.uk
The Panton Practice,https://www.nhs.uk/services/gp-surgery/the-panton-practice/J81072,BH1 3EG,1,http://www.thepantonpractice.co.uk/
Mendip Vale Medical Practice (St Georges),https://www.nhs.uk/services/gp-surgery/mendip-vale-medical-practice-st-georges/L81086003,BS22 7SB,1,http://www.mendipvale.nhs.uk
Porlock Medical Centre,https://www.nhs.uk/services/gp-surgery/porlock-medical-centre/L85065001,TA24 8PJ,0,
The Blackdown Practice,https://www.nhs.uk/services/gp-surgery/the-blackdown-practice/L83044001,EX14 4JP,1,https://www.theblackdownpractice.co.uk
Nettleham Medical Practice,https://www.nhs.uk/services/gp-surgery/nettleham-medical-practice/C83031,LN2 2RS,1,http://www.nettlehammedical.co.uk
Portland Medical Practice Branch Surgery - Newland ,https://www.nhs.uk/services/gp-surgery/portland-medical-practice-branch-surgery-newland/C83001002,LN1 1XP,1,http://www.citymedicalpractice.gpsurgery.net
Brayford Medical Practice,https://www.nhs.uk/services/gp-surgery/brayford-medical-practice/C83626,LN1 1XP,-1,http://www.brayfordmedicalpractice.co.uk
Bolton General Practice,https://www.nhs.uk/services/gp-surgery/bolton-general-practice/Y02319,BL1 4TH,1,https://www.ssphealth.com
Blackford House Medical Centre,https://www.nhs.uk/services/gp-surgery/blackford-house-medical-centre/P83009,BL9 8QA,0,
Heart of Lincoln Medical Group (Lincoln University),https://www.nhs.uk/services/gp-surgery/heart-of-lincoln-medical-group-lincoln-university/Y0Y2X,LN6 7TS,1,https://ulhsonline.co.uk/
Abbey Medical Practice,https://www.nhs.uk/services/gp-surgery/abbey-medical-practice/C83051,LN2 5HR,1,http://www.abbeymedicalpractice.co.uk
Heart of Lincoln Health Group,https://www.nhs.uk/services/gp-surgery/heart-of-lincoln-health-group/C83001,LN5 7LB,1,https://portlandmedicalpractice.com
The Woodland Medical Practice,https://www.nhs.uk/services/gp-surgery/the-woodland-medical-practice/C83041,LN6 0QQ,1,http://www.woodlandmedicalpractice.org.uk
Birchwood Medical Practice,https://www.nhs.uk/services/gp-surgery/birchwood-medical-practice/C83082,LN6 0QQ,1,http://www.birchwoodmedicalpractice.com
Belgrave Medical Centre,https://www.nhs.uk/services/gp-surgery/belgrave-medical-centre/M83068,ST3 4LR,1,http://www.bmcgp.co.uk
Tunstall Primary Care – Packmoor Branch,https://www.nhs.uk/services/gp-surgery/tunstall-primary-care-%E2%80%93-packmoor-branch/M83650001,ST7 4SS,1,http://www.tunstallprimarycare.co.uk/
Marton Branch Surgery,https://www.nhs.uk/services/gp-surgery/marton-branch-surgery/C83074003,DN21 5XX,1,http://www.willinghamsurgery.co.uk
Cherry Willingham (Branch Surgery),https://www.nhs.uk/services/gp-surgery/cherry-willingham-branch-surgery/C83031002,LN3 4JL,1,https://www.nettlehammedical.co.uk/
Dunrobin Street Medical Centre,https://www.nhs.uk/services/gp-surgery/dunrobin-street-medical-centre/M83090,ST3 4LL,1,http://www.dunrobinstreetmedicalcentre.co.uk/
Launceston Close Surgery,https://www.nhs.uk/services/gp-surgery/launceston-close-surgery/N81074,CW7 1LY,1,https://www.launcestonclosesurgery.nhs.uk
Harleston Medical Practice,https://www.nhs.uk/services/gp-surgery/harleston-medical-practice/D82084,IP20 9AT,1,http://www.harlestonsurgery.co.uk
Harleston Medical Practice,https://www.nhs.uk/services/gp-surgery/harleston-medical-practice/D82084001,IP20 9AR,1,http://www.harlestonsurgery.co.uk
Church Hill Surgery,https://www.nhs.uk/services/gp-surgery/church-hill-surgery/D82046,IP21 4TX,1,https://www.churchhillsurgery.co.uk/
Sutton Benger Surgery,https://www.nhs.uk/services/gp-surgery/sutton-benger-surgery/J83050001,SN15 4RP,1,http://www.patfordhousepartnership.co.uk
Malmesbury Medical Partnership,https://www.nhs.uk/services/gp-surgery/malmesbury-medical-partnership/J83041,SN16 0FB,1,http://www.malmesburypcc.nhs.uk/
North Meols Medical Centre,https://www.nhs.uk/services/gp-surgery/north-meols-medical-centre/P81112003,PR9 8ET,1,http://www.beaconprimarycare.org.uk
Liverpool Rd Medical Practice,https://www.nhs.uk/services/gp-surgery/liverpool-rd-medical-practice/N84007,L23 5TE,1,https://birdkasshapractice.nhs.uk/
Blundellsands Surgery,https://www.nhs.uk/services/gp-surgery/blundellsands-surgery/N84020,L23 6TZ,1,http://www.blundellsandssurgery.nhs.uk/
Bungay Medical Centre,https://www.nhs.uk/services/gp-surgery/bungay-medical-centre/D83034,NR35 1LP,1,http://www.bungaymedicalpractice.co.uk
Old Mill and Millgates Medical Practice,https://www.nhs.uk/services/gp-surgery/old-mill-and-millgates-medical-practice/D82036001,NR15 2LP,0,
Long Stratton Medical Partnership,https://www.nhs.uk/services/gp-surgery/long-stratton-medical-partnership/D82037,NR15 2UY,1,http://www.longstrattonsurgery.nhs.uk
Fressingfield Medical Centre,https://www.nhs.uk/services/gp-surgery/fressingfield-medical-centre/D83069,IP21 5PJ,1,http://www.fressingfieldmedicalcentre.co.uk/
