gp,nhs_url
Kildonan House,https://www.nhs.uk/services/gp-surgery/kildonan-house/P82003
Coppull Medical Practice,https://www.nhs.uk/services/gp-surgery/coppull-medical-practice/P81033
"Edgworth Medical Centre - Dr Leach, Dr Bakht and Dr Tanoli",https://www.nhs.uk/services/gp-surgery/edgworth-medical-centre-dr-leach-dr-bakht-and-dr-tanoli/P82034001
Queen Street Surgery,https://www.nhs.uk/services/gp-surgery/queen-street-surgery/K1C0E
Newland Surgery,https://www.nhs.uk/services/gp-surgery/newland-surgery/B87033
Henry Moore Clinic,https://www.nhs.uk/services/gp-surgery/henry-moore-clinic/B87018
Castleford Medical Practice,https://www.nhs.uk/services/gp-surgery/castleford-medical-practice/B87025
"The Stoke Road Surgery,",https://www.nhs.uk/services/gp-surgery/the-stoke-road-surgery/L84048
Cofton Medical Centre,https://www.nhs.uk/services/gp-surgery/cofton-medical-centre/M85086
Leach Heath Medical Centre,https://www.nhs.uk/services/gp-surgery/leach-heath-medical-centre/M85027
New Road Surgery,https://www.nhs.uk/services/gp-surgery/new-road-surgery/M81025
Cornhill Surgery,https://www.nhs.uk/services/gp-surgery/cornhill-surgery/M81055
Hawkesley Medical Practice,https://www.nhs.uk/services/gp-surgery/hawkesley-medical-practice/M85043
Hawthorn Medical Practice,https://www.nhs.uk/services/gp-surgery/hawthorn-medical-practice/C83045
Stickney Surgery,https://www.nhs.uk/services/gp-surgery/stickney-surgery/C83055
North Thoresby Surgery,https://www.nhs.uk/services/gp-surgery/north-thoresby-surgery/C83061
Binbrook Surgery,https://www.nhs.uk/services/gp-surgery/binbrook-surgery/C83643
Woodhall Spa New Surgery,https://www.nhs.uk/services/gp-surgery/woodhall-spa-new-surgery/C83635
Tasburgh Lodge Surgery,https://www.nhs.uk/services/gp-surgery/tasburgh-lodge-surgery/C83634
Blunsdon Surgery,https://www.nhs.uk/services/gp-surgery/blunsdon-surgery/J83002001
Broadshires Health Centre,https://www.nhs.uk/services/gp-surgery/broadshires-health-centre/K84075
Abbey Meads Medical Pract,https://www.nhs.uk/services/gp-surgery/abbey-meads-medical-pract/J83035
Taw Hill Medical Practice,https://www.nhs.uk/services/gp-surgery/taw-hill-medical-practice/J83002004
Ripple Road,https://www.nhs.uk/services/gp-surgery/ripple-road/F82660002
King Edwards Medical Centre,https://www.nhs.uk/services/gp-surgery/king-edwards-medical-centre/F82042001
Tollgate Medical Centre,https://www.nhs.uk/services/gp-surgery/tollgate-medical-centre/F84093
Highgrove Surgery,https://www.nhs.uk/services/gp-surgery/highgrove-surgery/F82680
The Sanatorium,https://www.nhs.uk/services/gp-surgery/the-sanatorium/K83023001
Thomas Walker Westgate Healthcare,https://www.nhs.uk/services/gp-surgery/thomas-walker-westgate-healthcare/Y07060
Central Medical Centre,https://www.nhs.uk/services/gp-surgery/central-medical-centre/D81631
Parnwell Medical Centre,https://www.nhs.uk/services/gp-surgery/parnwell-medical-centre/D81618002
Sharlston Medical Practice,https://www.nhs.uk/services/gp-surgery/sharlston-medical-practice/B87028001
Welbeck Street Health Centre,https://www.nhs.uk/services/gp-surgery/welbeck-street-health-centre/B87030004
Sixways Clinic,https://www.nhs.uk/services/gp-surgery/sixways-clinic/L84015
Penhill Surgery,https://www.nhs.uk/services/gp-surgery/penhill-surgery/J83035001
North Swindon Practice,https://www.nhs.uk/services/gp-surgery/north-swindon-practice/J83057
Stow Surgery,https://www.nhs.uk/services/gp-surgery/stow-surgery/L84031
Hedgemans Medical Centre,https://www.nhs.uk/services/gp-surgery/hedgemans-medical-centre/F82015
Child and Family Health Centre,https://www.nhs.uk/services/gp-surgery/child-and-family-health-centre/Y02575001
Slade Green Medical Ctr.,https://www.nhs.uk/services/gp-surgery/slade-green-medical-ctr/G83062
Barking Medical Group Practice,https://www.nhs.uk/services/gp-surgery/barking-medical-group-practice/F82018
Sidcup Medical Centre - Burnt Oak Lane (Branch),https://www.nhs.uk/services/gp-surgery/sidcup-medical-centre-burnt-oak-lane-branch/G83066001
Westwood Clinic,https://www.nhs.uk/services/gp-surgery/timperley-health-centre-westwood/P91007
Bretton Medical Practice,https://www.nhs.uk/services/gp-surgery/bretton-medical-practice/Y07057
Wimblington Surgery,https://www.nhs.uk/services/gp-surgery/wimblington-surgery/D81611002
Thistlemoor Medical Centre,https://www.nhs.uk/services/gp-surgery/thistlemoor-medical-centre/D81625
Nene Valley Surgery,https://www.nhs.uk/services/gp-surgery/nene-valley-surgery/K83065
The Meadows Surgery,https://www.nhs.uk/services/gp-surgery/the-meadows-surgery/K83616
Acle Medical Partnership,https://www.nhs.uk/services/gp-surgery/acle-medical-partnership/D82104
Fleggburgh Surgery,https://www.nhs.uk/services/gp-surgery/fleggburgh-surgery/D82600
Blofield Surgery,https://www.nhs.uk/services/gp-surgery/blofield-surgery/D82080
Brundall Medical Partnership,https://www.nhs.uk/services/gp-surgery/brundall-medical-partnership/D82032
Thorns Road Surgery,https://www.nhs.uk/services/gp-surgery/thorns-road-surgery/M87638
Meadowbrook Surgery,https://www.nhs.uk/services/gp-surgery/meadowbrook-surgery/M87001
Mann Cottage Surgery,https://www.nhs.uk/services/gp-surgery/mann-cottage-surgery/L84068
Wychwood Surgery,https://www.nhs.uk/services/gp-surgery/wychwood-surgery/K84046
Purton Surgery,https://www.nhs.uk/services/gp-surgery/purton-surgery/J83006
Ludham And Stalham Green Surgeries,https://www.nhs.uk/services/gp-surgery/ludham-and-stalham-green-surgeries/D82028
Dr Timms & Partners,https://www.nhs.uk/services/gp-surgery/dr-timms-and-partners/D82104001
Martham Health Centre,https://www.nhs.uk/services/gp-surgery/martham-health-centre/D82058002
Coastal Villages Practice,https://www.nhs.uk/services/gp-surgery/coastal-villages-practice/D82058
Salhouse Village Hall,https://www.nhs.uk/services/gp-surgery/salhouse-village-hall/D82025001
Kingswinford Medical Practice,https://www.nhs.uk/services/gp-surgery/kingswinford-medical-practice/M87008
Aw Surgeries,https://www.nhs.uk/services/gp-surgery/aw-surgeries/M87009
Quarry Bank Medical Centre,https://www.nhs.uk/services/gp-surgery/quarry-bank-medical-centre/M87027
Melrose Surgery,https://www.nhs.uk/services/gp-surgery/melrose-surgery/C88070001
Forge Health Group,https://www.nhs.uk/services/gp-surgery/forge-health-group/C88008
Westbury Group Practice,https://www.nhs.uk/services/gp-surgery/westbury-group-practice/J83040
St Chads Surgery,https://www.nhs.uk/services/gp-surgery/st-chads-surgery/L81025
Somerton House Surgery,https://www.nhs.uk/services/gp-surgery/somerton-house-surgery/L81101
Goldington Road Surgery,https://www.nhs.uk/services/gp-surgery/goldington-road-surgery/Y00328
Gilbert Hitchcock House Branch,https://www.nhs.uk/services/gp-surgery/gilbert-hitchcock-house-branch/E81037007
The De Parys Group – Pemberley branch,https://www.nhs.uk/services/gp-surgery/the-de-parys-group-%E2%80%93-pemberley-branch/E81037006
The De Parys Group – Goldington Branch,https://www.nhs.uk/services/gp-surgery/the-de-parys-group-%E2%80%93-goldington-branch/E81037004
Heathgate Medical Practice,https://www.nhs.uk/services/gp-surgery/heathgate-medical-practice/D82078
High Oak Surgery,https://www.nhs.uk/services/gp-surgery/high-oak-surgery/Y02653
Birley Health Centre,https://www.nhs.uk/services/gp-surgery/birley-health-centre/C88025
Dykes Hall Medical Centre,https://www.nhs.uk/services/gp-surgery/dykes-hall-medical-centre/C88045
Far Lane Medical Centre,https://www.nhs.uk/services/gp-surgery/far-lane-medical-centre/C88021
Darnall Hall Surgery ,https://www.nhs.uk/services/gp-surgery/darnall-hall-surgery/C88037002
Herries Road Surgery,https://www.nhs.uk/services/gp-surgery/herries-road-surgery/C88048001
Hope House Surgery,https://www.nhs.uk/services/gp-surgery/hope-house-surgery/L81010
PC Ext Access Bedoc,https://www.nhs.uk/services/gp-surgery/pc-ext-access-bedoc/Y06153
London Road Surgery,https://www.nhs.uk/services/gp-surgery/london-road-surgery/F81041
The DE Parys Group,https://www.nhs.uk/services/gp-surgery/the-de-parys-group/E81037
London Road Health Centre,https://www.nhs.uk/services/gp-surgery/london-road-health-centre/E81019
Birchington Medical Centre,https://www.nhs.uk/services/gp-surgery/birchington-medical-centre/G82666
Minster Surgery,https://www.nhs.uk/services/gp-surgery/minster-surgery/G82107
Old Basing Health Centre,https://www.nhs.uk/services/gp-surgery/old-basing-health-centre/J82061002
Swan Medical Group,https://www.nhs.uk/services/gp-surgery/swan-medical-group/J82098
Hambledon Surgery,https://www.nhs.uk/services/gp-surgery/hambledon-surgery/J82119001
Zaman,https://www.nhs.uk/services/gp-surgery/zaman/P92005
Shakespeare Surgery,https://www.nhs.uk/services/gp-surgery/shakespeare-surgery/P92653
Kumar Family Practice,https://www.nhs.uk/services/gp-surgery/kumar-family-practice/P92024
Beechwood Surgery,https://www.nhs.uk/services/gp-surgery/beechwood-surgery/P81742
The Thornton Practice,https://www.nhs.uk/services/gp-surgery/the-thornton-practice/P81079
The Village Practice,https://www.nhs.uk/services/gp-surgery/the-village-practice/P81133
Clover Group Practice,https://www.nhs.uk/services/gp-surgery/clover-group-practice/C88069
Clover North Darnall Health Centre,https://www.nhs.uk/services/gp-surgery/clover-north-darnall-health-centre/C88084
Page Hall Medical Centre,https://www.nhs.uk/services/gp-surgery/page-hall-medical-centre/C88051
Broadchalke Surgery,https://www.nhs.uk/services/gp-surgery/broadchalke-surgery/J81083001
Shefford Health Centre,https://www.nhs.uk/services/gp-surgery/shefford-health-centre/E81033
Westgate Surgery,https://www.nhs.uk/services/gp-surgery/westgate-surgery/B86029
Dr Crosfield C E & Partners,https://www.nhs.uk/services/gp-surgery/dr-crosfield-c-e-and-partners/G82107001
Northdown Surgery,https://www.nhs.uk/services/gp-surgery/northdown-surgery/G82066
Newington Road Surgery,https://www.nhs.uk/services/gp-surgery/newington-road-surgery/G82150
The Grange Surgery,https://www.nhs.uk/services/gp-surgery/grange-surgery/N84024
Chineham Medical Practice,https://www.nhs.uk/services/gp-surgery/chineham-medical-practice/J82218
Riverside Partnership,https://www.nhs.uk/services/gp-surgery/riverside-medical-centre/P81185
ESP Hub,https://www.nhs.uk/services/gp-surgery/esp-hub/Y05861
Hawkley Brook Medical Practice,https://www.nhs.uk/services/gp-surgery/hawkley-brook-medical-practice/P92647
Marus Bridge Practice,https://www.nhs.uk/services/gp-surgery/marus-bridge-practice/P92642
Westleigh Medical Practice,https://www.nhs.uk/services/gp-surgery/westleigh-medical-centre/P92029001
Westleigh Medical Centre,https://www.nhs.uk/services/gp-surgery/westleigh-medical-centre/P92029001
Lowton & Platt Bridge Surgery,https://www.nhs.uk/services/gp-surgery/lowton-and-platt-bridge-surgery/P92651
Leigh Sports Village,https://www.nhs.uk/services/gp-surgery/leigh-sports-village/Y02886
Lockwood GP Surgery,https://www.nhs.uk/services/gp-surgery/lockwood-surgery/B85641
Fishergate Hill Surgery,https://www.nhs.uk/services/gp-surgery/fishergate-hill-surgery/P81169
Ash Tree House Surgery,https://www.nhs.uk/services/gp-surgery/ash-tree-house-surgery/P81129
Queensway Medical Centre,https://www.nhs.uk/services/gp-surgery/queensway-medical-centre/K83005
Manor View Practice at Theobald,https://www.nhs.uk/services/gp-surgery/manor-view-practice-at-theobald/J8F4L
Eastbury Surgery,https://www.nhs.uk/services/gp-surgery/eastbury-surgery/E86028
Schopwick Surgery,https://www.nhs.uk/services/gp-surgery/schopwick-surgery/E82043
Dr Tiguti V Branch,https://www.nhs.uk/services/gp-surgery/dr-tiguti-v-branch/M83121001
Keele Practice,https://www.nhs.uk/services/gp-surgery/keele-practice/M83670
Biddulph Valley Surgery,https://www.nhs.uk/services/gp-surgery/biddulph-valley-surgery/M83046
Biddulph Doctors,https://www.nhs.uk/services/gp-surgery/biddulph-doctors/M83089
Holbrook Surgery,https://www.nhs.uk/services/gp-surgery/holbrook-surgery/H82640
St Stephens House Surgery,https://www.nhs.uk/services/gp-surgery/st-stephens-house-surgery/H81074
Oxshott Medical Practice,https://www.nhs.uk/services/gp-surgery/oxshott-medical-practice/H81107
Summerhill Surgery,https://www.nhs.uk/services/gp-surgery/summerhill-surgery/G82046
Dashwood Medical Centre,https://www.nhs.uk/services/gp-surgery/dashwood-medical-centre/G82064
Mocketts Wood Surgery,https://www.nhs.uk/services/gp-surgery/mocketts-wood-surgery/G82650
Kadiyala V,https://www.nhs.uk/services/gp-surgery/kadiyala-v/P92002001
Jersey Farm Surgery,https://www.nhs.uk/services/gp-surgery/jersey-farm-surgery/E82084001
Parkbury Surgery,https://www.nhs.uk/services/gp-surgery/parkbury-house-surgery/E82060
Little Chalfont Surgery,https://www.nhs.uk/services/gp-surgery/little-chalfont-surgery/K82621
The Manor Street Surgery,https://www.nhs.uk/services/gp-surgery/the-manor-street-surgery/E82094
R J Mitchell Surgery,https://www.nhs.uk/services/gp-surgery/r-j-mitchell-surgery/M83723002
Audley Health Centre,https://www.nhs.uk/services/gp-surgery/audley-health-centre/M83054
Greenmoss Medical Centre,https://www.nhs.uk/services/gp-surgery/greenmoss-medical-centre/N81071
Dr Yates Do Branch,https://www.nhs.uk/services/gp-surgery/dr-yates-do-branch/M83108001
Dr KS Upton's Practice,https://www.nhs.uk/services/gp-surgery/dr-ks-upton-s-practice/M83096
Leek Health Centre,https://www.nhs.uk/services/gp-surgery/leek-health-centre/M83012
Cobham Health Centre,https://www.nhs.uk/services/gp-surgery/cobham-health-centre/H81067
Langley Corner Surgery,https://www.nhs.uk/services/gp-surgery/langley-corner-surgery/Y00351
The Courtyard Surgery,https://www.nhs.uk/services/gp-surgery/the-courtyard-surgery/H82028
Ifield Medical Practice,https://www.nhs.uk/services/gp-surgery/ifield-medical-practice/H82050
"Haxby Group Practice, Gale Farm Surgery",https://www.nhs.uk/services/gp-surgery/haxby-group-practice-gale-farm-surgery/B82026004
Front Street Surgery,https://www.nhs.uk/services/gp-surgery/front-street-surgery/B82100
York Medical Group,https://www.nhs.uk/services/gp-surgery/york-medical-group/B82083
Harefield Surgery,https://www.nhs.uk/services/gp-surgery/harefield-surgery/J82622004
Living Well Partnership Botley,https://www.nhs.uk/services/gp-surgery/living-well-partnership-botley/S6D0Z
Thorpe-le-Soken Surgery (Kirby Cross Branch),https://www.nhs.uk/services/gp-surgery/thorpe-le-soken-surgery-kirby-cross-branch/F81213002
The Mill Surgery,https://www.nhs.uk/services/gp-surgery/mp-victoria-mill/Y01695
The Infirmary,https://www.nhs.uk/services/gp-surgery/the-infirmary/D83020001
The Elizabeth Courtauld Surgery,https://www.nhs.uk/services/gp-surgery/the-elizabeth-courtauld-surgery/F81068
Chobham & West End Medical Practice,https://www.nhs.uk/services/gp-surgery/chobham-and-west-end-medical-practice/H81015
Bartlett Group Practice - Ash Vale,https://www.nhs.uk/services/gp-surgery/bartlett-group-practice-ash-vale/H81013001
New Ottershaw Surgery,https://www.nhs.uk/services/gp-surgery/new-ottershaw-surgery/H81658
FAIRBROOK MEDICAL CENTRE,https://www.nhs.uk/services/gp-surgery/fairbrook-medical-centre/E82012
Carepoint Practice,https://www.nhs.uk/services/gp-surgery/carepoint-practice/E86618
Lavender Grove Surgery,https://www.nhs.uk/services/gp-surgery/lavender-grove-surgery/B82005002
Dalton Terrace Surgery,https://www.nhs.uk/services/gp-surgery/dalton-terrace-surgery/B82021
"York Medical Group, 32 Clifton",https://www.nhs.uk/services/gp-surgery/york-medical-group-32-clifton/B82083004
Hedge End Medical Centre,https://www.nhs.uk/services/gp-surgery/hedge-end-medical-centre/J82089
Mulberry House Surgery,https://www.nhs.uk/services/gp-surgery/mulberry-house-surgery/J82183
Ladies Walk Practice,https://www.nhs.uk/services/gp-surgery/ladies-walk-practice/J82622002
Solent GP- Portswood,https://www.nhs.uk/services/gp-surgery/solent-gp-portswood/J82024002
West End Road Surgery,https://www.nhs.uk/services/gp-surgery/west-end-medical-centre/P89030
Sidney House Surgery,https://www.nhs.uk/services/gp-surgery/sidney-house-surgery/F81149002
Caradoc Surgery,https://www.nhs.uk/services/gp-surgery/caradoc-surgery/F81026
Hadleigh Boxford Group Practice,https://www.nhs.uk/services/gp-surgery/hadleigh-boxford-group-practice/D83037
Burnham Surgery,https://www.nhs.uk/services/gp-surgery/burnham-surgery/F81126
The Holbrook And Shotley Practice,https://www.nhs.uk/services/gp-surgery/the-holbrook-and-shotley-practice/D83020
Owls Hill Surgery,https://www.nhs.uk/services/gp-surgery/owls-hill-surgery/F81030002
Witley Surgery,https://www.nhs.uk/services/gp-surgery/witley-surgery/H81031
Springfield Surgery,https://www.nhs.uk/services/gp-surgery/springfield-surgery/P88606
The Border Practice,https://www.nhs.uk/services/gp-surgery/the-border-practice/J82142
Townsend House Medical Centre,https://www.nhs.uk/services/gp-surgery/townsend-medical-centre/N82052
Seaton & Colyton Medical Practice,https://www.nhs.uk/services/gp-surgery/seaton-and-colyton-medical-practice/L83007
Sarum Health Group,https://www.nhs.uk/services/gp-surgery/sarum-health-group/J83052
Kennet & Avon Medical Partnership - Pewsey Surgery,https://www.nhs.uk/services/gp-surgery/kennet-and-avon-medical-partnership-pewsey-surgery/J83037002
Harcourt Medical Centre,https://www.nhs.uk/services/gp-surgery/harcourt-medical-centre/J83003
Salisbury Medical Practice,https://www.nhs.uk/services/gp-surgery/salisbury-medical-practice/J83021
Orchard Medical Centre,https://www.nhs.uk/services/gp-surgery/orchard-medical-practice/P87627
Hanham Health,https://www.nhs.uk/services/gp-surgery/hanham-health/L81079
Concord Medical Centre,https://www.nhs.uk/services/gp-surgery/concord-medical-centre/L81019/how-to-register
Clementhorpe Health Centre,https://www.nhs.uk/services/gp-surgery/clementhorpe-health-centre/B82005001
The Colyton Health Centre,https://www.nhs.uk/services/gp-surgery/the-colyton-health-centre/L83007001
Ariel Healthcare - St. Mary’s,https://www.nhs.uk/services/gp-surgery/ariel-healthcare-st-mary%E2%80%99s/T3O3Q
Wareham Surgery,https://www.nhs.uk/services/gp-surgery/wareham-surgery/J81011
Ariel Healthcare,https://www.nhs.uk/services/gp-surgery/ariel-healthcare/L85030
Walrond Medical Centre,https://www.nhs.uk/services/gp-surgery/walrond-medical-centre/L83054001
Kintbury & Woolton Hill Surgery,https://www.nhs.uk/services/gp-surgery/kintbury-and-woolton-hill-surgery/J82054
Bemerton Heath Surgery,https://www.nhs.uk/services/gp-surgery/bemerton-heath-surgery/J83021003
Watership Down Health,https://www.nhs.uk/services/gp-surgery/watership-down-health/J82639
Bradley Stoke Surgery,https://www.nhs.uk/services/gp-surgery/bradley-stoke-surgery/L81649
Pilning Surgery,https://www.nhs.uk/services/gp-surgery/pilning-surgery/L81117
Severn Way Surgery,https://www.nhs.uk/services/gp-surgery/severn-way-surgery/L81073001
Hazelvalley Family Practice,https://www.nhs.uk/services/gp-surgery/hazelvalley-family-practice/P81212
Haslingden Healthcare Ltd,https://www.nhs.uk/services/gp-surgery/haslingden-healthcare-ltd/P81099
Rossendale Valley Medical Practice,https://www.nhs.uk/services/gp-surgery/rossendale-valley-medical-practice/P81686
Peel House Medical Practice - Baxenden Branch Site,https://www.nhs.uk/services/gp-surgery/peel-house-medical-practice-baxenden-branch-site/P81036001
Lapworth Surgery,https://www.nhs.uk/services/gp-surgery/lapworth-surgery/M84620
Westbank Practice,https://www.nhs.uk/services/gp-surgery/westbank-practice/L83041
Westbank Practice - Exminster Surgery,https://www.nhs.uk/services/gp-surgery/westbank-practice-exminster-surgery/L83041001
Treetops Surgery,https://www.nhs.uk/services/gp-surgery/treetops-surgery/L83053001
Ide Lane Surgery,https://www.nhs.uk/services/gp-surgery/ide-lane-surgery/L83079
Moss Side Medical Centre,https://www.nhs.uk/services/gp-surgery/moss-side-medical-centre/P81186
Dr Bello's Surgery,https://www.nhs.uk/services/gp-surgery/dr-bello-s-surgery/P81166
Dill Hall Surgery,https://www.nhs.uk/services/gp-surgery/dill-hall-surgery/P81711
St James' Medical Centre,https://www.nhs.uk/services/gp-surgery/st-james-medical-centre/P81003
Fairmore Medical Practice,https://www.nhs.uk/services/gp-surgery/fairmore-medical-practice/Y02606
Ilex View Medical Practice,https://www.nhs.uk/services/gp-surgery/ilex-view-medical-practice/P81118
Peel House Medical Practice,https://www.nhs.uk/services/gp-surgery/peel-house-medical-practice/P81036
King Street Medical Ctr,https://www.nhs.uk/services/gp-surgery/king-street-medical-ctr/P81726
Hollywood Medical Centre,https://www.nhs.uk/services/gp-surgery/hollywood-medical-centre/M81064
GPS Healthcare - Village Surgery,https://www.nhs.uk/services/gp-surgery/gps-healthcare-village-surgery/M89003005
West Heath Primary C Ctr,https://www.nhs.uk/services/gp-surgery/west-heath-primary-c-ctr/M85134
TOPSHAM SURGERY,https://www.nhs.uk/services/gp-surgery/topsham-surgery/L83036
Glasshouse Medical Centre,https://www.nhs.uk/services/gp-surgery/glasshouse-medical-centre/L83036001
Topsham Surgery at Sclns,https://www.nhs.uk/services/gp-surgery/topsham-surgery-at-sclns/L83036002
St Thomas Medical Group,https://www.nhs.uk/services/gp-surgery/st-thomas-medical-group/L83016
Woodbury Surgery,https://www.nhs.uk/services/gp-surgery/woodbury-surgery/L83116
"Unsworth Group Practice, Blackrod",https://www.nhs.uk/services/gp-surgery/unsworth-group-practice-blackrod/P82015001
Edgworth Medical Centre,https://www.nhs.uk/services/gp-surgery/edgworth-medical-centre-dr-leach-dr-bakht-and-dr-tanoli/P82034001
Bromley Meadows Surgery,https://www.nhs.uk/services/gp-surgery/bromley-meadows-surgery/P82643
Oswald Medical Centre,https://www.nhs.uk/services/gp-surgery/oswald-medical-centre/P81160
"The North Thoresby Practice, Holton-le-Clay",https://www.nhs.uk/services/gp-surgery/the-north-thoresby-practice-holton-le-clay/C83061002
The New Coningsby Surgery,https://www.nhs.uk/services/gp-surgery/the-new-coningsby-surgery/C83083
The Wragby Surgery,https://www.nhs.uk/services/gp-surgery/the-wragby-surgery/C83650
Dr Sinha & Partners,https://www.nhs.uk/services/gp-surgery/dr-sinha-and-partners/C83049
Arg Healthcare,https://www.nhs.uk/services/gp-surgery/arg-healthcare/P81147
Woodhall Spa New Surgery - Bardney branch,https://www.nhs.uk/services/gp-surgery/woodhall-spa-new-surgery-bardney-branch/C83635003
Taylors Avenue Med Ctr,https://www.nhs.uk/services/gp-surgery/taylors-avenue-med-ctr/T8M1P
Dr OZ Qureshi,https://www.nhs.uk/services/gp-surgery/dr-oz-qureshi/B81642
Slc Medical Group,https://www.nhs.uk/services/gp-surgery/slc-medical-group/B81030
Beacon Medical,https://www.nhs.uk/services/gp-surgery/beacon-medical-centre/P84033
Grange Hill Surgery,https://www.nhs.uk/services/gp-surgery/grange-hill-surgery/M85056001
West Heath Surgery,https://www.nhs.uk/services/gp-surgery/west-heath-surgery/M85007
Hollymoor Medical Centre,https://www.nhs.uk/services/gp-surgery/hollymoor-medical-centre/M85076
Dickens Heath MC (Solihull Healthcare Partnership),https://www.nhs.uk/services/gp-surgery/dickens-heath-mc-solihull-healthcare-partnership/M89017006
Swanage Medical Practice,https://www.nhs.uk/services/gp-surgery/swanage-medical-practice/J81010
Corfe Castle Surgery,https://www.nhs.uk/services/gp-surgery/corfe-castle-surgery/J81612
Sandford Surgery,https://www.nhs.uk/services/gp-surgery/sandford-surgery/J81631
Haddenham Surgery,https://www.nhs.uk/services/gp-surgery/haddenham-surgery/D81062
Nightingale Medical Centre,https://www.nhs.uk/services/gp-surgery/nightingale-medical-centre/D81065
Ailsworth Medical Centre,https://www.nhs.uk/services/gp-surgery/ailsworth-medical-centre/D81618
Chase Meadow Health Centre,https://www.nhs.uk/services/gp-surgery/chase-meadow-health-centre/M84063
Gables Surgery,https://www.nhs.uk/services/gp-surgery/dr-s-m-chen-and-partner/B86094
Dr M Goyal's Practice,https://www.nhs.uk/services/gp-surgery/dr-m-goyal-s-practice/F82005
Dr P Prasad's Practice,https://www.nhs.uk/services/gp-surgery/dr-p-prasad-s-practice/F82027
Dr R Chibber's Practice,https://www.nhs.uk/services/gp-surgery/dr-r-chibber-s-practice/F82647
The Leckhampton Surgery,https://www.nhs.uk/services/gp-surgery/the-leckhampton-surgery/L84040
Bampton Surgery,https://www.nhs.uk/services/gp-surgery/bampton-surgery/K84010
Cheltenham College,https://www.nhs.uk/services/gp-surgery/cheltenham-college/L84030001
Crossroads Surgery,https://www.nhs.uk/services/gp-surgery/the-crossroads-surgery/N83635
Market Rasen Surgery,https://www.nhs.uk/services/gp-surgery/market-rasen-surgery/C83043
Frankley Health Centre,https://www.nhs.uk/services/gp-surgery/frankley-health-centre/M81062
Shore Medical - Lilliput Surgery,https://www.nhs.uk/services/gp-surgery/shore-medical-lilliput-surgery/O9U8L
Lifeboat Quay Medical Centre,https://www.nhs.uk/services/gp-surgery/lifeboat-quay-medical-centre/J81052
The Adam Practice - Hamworthy Surgery,https://www.nhs.uk/services/gp-surgery/the-adam-practice-hamworthy-surgery/J81006002
The Adam Practice,https://www.nhs.uk/services/gp-surgery/the-adam-practice/J81006004
Poole Town Surgery,https://www.nhs.uk/services/gp-surgery/poole-town-surgery/J81064
Marshalls Road Surgery,https://www.nhs.uk/services/gp-surgery/marshalls-road-surgery/K83069
Cottenham Surgery,https://www.nhs.uk/services/gp-surgery/cottenham-surgery/D81602
Eye Surgery,https://www.nhs.uk/services/gp-surgery/eye-surgery/D81022002
Paston Health Centre,https://www.nhs.uk/services/gp-surgery/paston-health-centre/D81023
The Cottons Medical Centre,https://www.nhs.uk/services/gp-surgery/the-cottons-medical-centre/K83030
"Firs House Partnership, 42 Telegraph Street",https://www.nhs.uk/services/gp-surgery/firs-house-partnership-42-telegraph-street/D81028001
Budbrooke Medical Centre,https://www.nhs.uk/services/gp-surgery/budbrooke-medical-centre/M84069
Omnes Healthcare Ltd,https://www.nhs.uk/services/gp-surgery/omnes-healthcare-ltd/Y02575
Marlborough Park Avenue Branch Surgery,https://www.nhs.uk/services/gp-surgery/marlborough-park-avenue-branch-surgery/G83004001
Fairfield Pms,https://www.nhs.uk/services/gp-surgery/fairfield-pms/G83044
Plas Meddyg Surgery,https://www.nhs.uk/services/gp-surgery/plas-meddyg-surgery/G83029
Rainham Health Centre,https://www.nhs.uk/services/gp-surgery/rainham-health-centre/F82627
Sidcup Medical Centre - Thanet Road (Branch) ,https://www.nhs.uk/services/gp-surgery/sidcup-medical-centre-thanet-road-branch/G83066003
Sparcells Surgery,https://www.nhs.uk/services/gp-surgery/sparcells-surgery/Y03671
Merchiston Surgery,https://www.nhs.uk/services/gp-surgery/merchiston-surgery/J83001
Prestbury Park Medical,https://www.nhs.uk/services/gp-surgery/prestbury-park-medical/L84616
The Waterfront Surgery,https://www.nhs.uk/services/gp-surgery/the-waterfront-surgery/M87010
Halesowen Medical Practice,https://www.nhs.uk/services/gp-surgery/halesowen-medical-practice/M87602
The Millwood Partnership,https://www.nhs.uk/services/gp-surgery/the-millwood-partnership/D82019
Hemsby Medical Centre,https://www.nhs.uk/services/gp-surgery/hemsby-medical-centre/D82058001
The Newman Practice (Dr Newmans Surgery),https://www.nhs.uk/services/gp-surgery/the-newman-practice-dr-newmans-surgery/J81648
Alexandra Medical Centre,https://www.nhs.uk/services/gp-surgery/the-alexandra-practice/P84650
Caister Health Centre (a branch of East Norfolk Medical Prac,https://www.nhs.uk/services/gp-surgery/caister-health-centre-a-branch-of-east-norfolk-medical-prac/D82007001
North Caister Medical Centre ,https://www.nhs.uk/services/gp-surgery/north-caister-medical-centre/D82058003
Nelson Medical Centre,https://www.nhs.uk/services/gp-surgery/nelson-medical-practice/P81170
East Norfolk Medical Practice,https://www.nhs.uk/services/gp-surgery/east-norfolk-medical-practice/D82007
The Lighthouse Medical Centre (a branch of East Norfolk Medical Practice),https://www.nhs.uk/services/gp-surgery/the-lighthouse-medical-centre-a-branch-of-east-norfolk-medical-practice/D82007002
Tudor Surgery,https://www.nhs.uk/services/gp-surgery/tudor-surgery/N81090
